boarder_code,roomnumber,payment_date,due_amount,amount_paid,status
001,B100,03/10/2018,2399.99,2399.99,1
002,B101,03/11/2018,2399.99,2399.99,1
001,B100,04/12/2018,2447.90,2447.90,1
002,B101,04/11/2018,2399.99,2399.99,1
001,B100,05/15/2018,2639.89,2639.89,1
002,B101,05/11/2018,2399.99,2399.99,1
001,B100,06/10/2018,2399.99,2399.99,1
002,B101,06/11/2018,2399.99,2399.99,1
001,B100,07/10/2018,2399.99,2399.99,1
002,B101,07/11/2018,2399.99,2399.99,1
001,B100,08/10/2018,2399.99,2399.99,1
002,B101,08/11/2018,2399.99,2399.99,1
001,B100,09/10/2018,2399.99,2399.99,1
002,B101,09/11/2018,2399.99,2399.99,1
001,B100,10/10/2018,2399.99,2399.99,1
002,B101,10/11/2018,2399.99,2399.99,1
008,C100,11/10/2018,1800.00,1800.00,1
002,B101,11/11/2018,2399.99,2399.99,1
001,B100,11/20/2018,2879.88,2879.88,1
006,B200,12/6/2018,3000.00,3000.00,1
001,B100,12/20/2018,2879.88,2879.88,1
002,B101,12/11/2018,2399.99,2399.99,1
008,C100,12/30/2018,2520.00,2520.00,1
001,B100,1/20/2019,2879.99,2879.99,1
